year,type,element_no,element,element_display,MentionedPosts,examples_json,type_old
2022,이벤트,11,Ver.0.01|Ver.0.0.1|Ver0.01|Ver0.0.1,Ver.0.01,2,"[{""context"": ""이후 비버잼 소개 영상과 게임의 프로토타입 버전을 전시하는 [[Ver 0.0.1]]의 소개 연사가 진행 되었습니다."", ""title"": ""더겜소년의 버닝비버 후기 1일차"", ""link"": ""https://blog.naver.com/dlckdals5050/222962839195""}, {""context"": ""행사가 시작하기 전 아침 '[[ver.0.0.1]] 기획 전시'를 보고 카투바의 옛 버전이 생각났습니다."", ""title"": ""카투바의 밀렵꾼, 버닝비버 2022 후기"", ""link"": ""https://blog.naver.com/katuba/222961062194""}]",전시/특별관
2022,장소/공간,14,온라인 전시관,온라인 전시관,1,"[{""context"": ""151가지의 출품작들을 체험해 볼 수 있는 [[온라인 전시관]] 저의 후기는 여기까지 입니다."", ""title"": ""인디게임 행사 GOAT, 버닝비버 후기"", ""link"": ""https://blog.naver.com/neopgame/223735112498""}]",플랫폼(온라인)
2022,이벤트,15,경품 뽑기|뽑기|가챠,경품 뽑기,7,"[{""context"": ""그리고 중간중간에 스트리머 팬사인회라든지 스토브 인디 부스에서 [[뽑기]] 이벤트 등 여러 가지 작은 이벤트들이 있어서 소소하게 즐기 거리가 있던 것도 좋았던 것 같아요!"", ""title"": ""2022 버닝비버 전시회 참여 후기"", ""link"": ""https://blog.naver.com/99jjuni/222961852080""}, {""context"": ""스토브 인디 부스에서는 [[뽑기]]를 돌려서 추첨으로 상품을 주는 이벤트를 진행하고 있었는데 저는 전부 5등으로 뽑았습니다."", ""title"": ""더겜소년의 버닝비버 후기 1일차"", ""link"": ""https://blog.naver.com/dlckdals5050/222962839195""}, {""context"": ""사전예약을 하면 [[뽑기]]를 할 수 있었는데 3일 내내 그래픽카드가 안나왔다는..."", ""title"": ""더겜소년의 버닝비버 후기 3일차 完 (+스토브 인디 어워즈)"", ""link"": ""https://blog.naver.com/dlckdals5050/222963211791""}, {""context"": ""\""버닝비버 2022\"" 는 자력으로 댐을 만드는 비버 같은 열정을 가진 개발자 들을 만나는 곳으로 1층부터 지하 2층까지 총 80여개 부스 외에 박람회 내 컨텐츠로 버닝비버 굿즈샵, 비버[[뽑기]], 비버네컷 등이 준비되어 있다 ​ 방문하기 전만 해도 지스타, 플포랑 비교하면 정말 빈약할거라 생각했는데... ​ 막상 와보니 인디게임에 관심있다면 오히려 버닝비버가 훨씬 낫지 않나 ? 라는 생각이 들 정도로 잘되어 있었다!"", ""title"": ""버닝비버 2022 인디게임 페스티벌! 골든티켓 당첨 & 관람 후기"", ""link"": ""https://blog.naver.com/kastia0075/222958494030""}, {""context"": ""◈ 기대 이상으로 알찼던 인디 게임 행사 GOAT 게임 체험을 하며 모은 토큰으로 [[경품 뽑기]]를 하는 모습 소소한 굿즈와 쿠폰까지 든든하게 확실히 든든한 스폰서가 있으니까 다르다는 걸 느낄 수 있었던 행사였습니다."", ""title"": ""인디게임 행사 GOAT, 버닝비버 후기"", ""link"": ""https://blog.naver.com/neopgame/223735112498""}]",현장 이벤트
2023,장소/공간,16,DDP|동대문디자인플라자|동대문 디자인 플라자,DDP,10,"[{""context"": ""아쉬웠던 점은, 수용 인원이 많은 거에 비해 할 수 자리가 적어서 20분 이상 대기하지 않으면 못했으며 , 인파로 혼잡해서 저 같은 파워 I들은 기가 너무 빨려서 힘들었고, 마지막으로 [[DDP]] 주차장 지원이 안된다는 게 슬펐습니다."", ""title"": ""2023 버닝비버 인디게임 페스티벌 방문한 후기"", ""link"": ""https://blog.naver.com/bee_sky/223284150993""}, {""context"": ""올해 버닝비버는 서울 [[DDP]] 아트홀에서 열렸는데요, 작년보다 아주 넓어진 스케일에 아주 놀랐답니다,,"", ""title"": ""<가짜 하트> 2023 버닝비버 Burning Beaver 참가 후기"", ""link"": ""https://blog.naver.com/blanbee/223288590112""}, {""context"": ""환불하고 거의 공짜로 입장할 수 있었습니다 야호 ​ ​ ​ [[DDP]] 지하 2층 모모야에서 돈까스 먹어주고 출발!"", ""title"": ""[서울/전시] 인디게임을 실컷 즐길 수 있는 < 버닝비버 > 전시 후기"", ""link"": ""https://blog.naver.com/during58/223283944114""}, {""context"": ""버닝비버 가는 길 버닝비버 2023은 [[동대문디자인플라자]](DDP) ART HALL1 에서 12월 1~3일 진행되었습니다!"", ""title"": ""초대권으로 버닝비버 2023에 다녀온 후기 ! (1)"", ""link"": ""https://blog.naver.com/hyanggies/223296954835""}, {""context"": ""작년엔 성수였나 강남쪽 동네였는데 올해는 [[동대문디자인플라자]] ddp 에서 열렸다"", ""title"": ""버닝비버 2023 인디게임&컬처 페스티벌 후기"", ""link"": ""https://blog.naver.com/iammulgogi/223283268495""}]",공간/배치
2023,장소/공간,17,버닝시티,버닝시티,1,"[{""context"": ""이정표에 적혀있는 것처럼 비버월드에는 공간이 3가지로 나누어져 있는데요, 이벤트가 진행되는 비버 광장 , 게임 부스들이 있는 비버빌리지, [[버닝시티]] 로 구성되어 있습니다!"", ""title"": ""초대권으로 버닝비버 2023에 다녀온 후기 ! (1)"", ""link"": ""https://blog.naver.com/hyanggies/223296954835""}]",공간/배치
2023,장소/공간,18,비버 광장|비버광장,비버 광장,1,"[{""context"": ""이정표에 적혀있는 것처럼 비버월드에는 공간이 3가지로 나누어져 있는데요, 이벤트가 진행되는 [[비버 광장]] , 게임 부스들이 있는 비버빌리지, 버닝시티 로 구성되어 있습니다!"", ""title"": ""초대권으로 버닝비버 2023에 다녀온 후기 ! (1)"", ""link"": ""https://blog.naver.com/hyanggies/223296954835""}]",공간/배치
2023,장소/공간,19,비버 빌리지|비버빌리지,비버 빌리지,1,"[{""context"": ""이정표에 적혀있는 것처럼 비버월드에는 공간이 3가지로 나누어져 있는데요, 이벤트가 진행되는 비버 광장 , 게임 부스들이 있는 [[비버빌리지]], 버닝시티 로 구성되어 있습니다!"", ""title"": ""초대권으로 버닝비버 2023에 다녀온 후기 ! (1)"", ""link"": ""https://blog.naver.com/hyanggies/223296954835""}]",공간/배치
2023,굿즈/리워드,20,가이드북,가이드북,3,"[{""context"": ""(그래도 아쉽)) ​ ​ ​ 초대권을 내고 받은 입장 팔찌, [[가이드북]], 스토브 인디게임 쿠폰!"", ""title"": ""초대권으로 버닝비버 2023에 다녀온 후기 ! (1)"", ""link"": ""https://blog.naver.com/hyanggies/223296954835""}, {""context"": ""[[가이드북]]을 통해 온라인으로 비버월드 모험가 길드에 가입을 할 수 있습니다."", ""title"": ""스마일게이트 버닝비버 2023 인디게임&컬쳐페스티벌 방문 후기"", ""link"": ""https://blog.naver.com/jhk7318/223281677657""}, {""context"": ""입구에서 급하게 들어오느라 그런지 몰라도 비버월드 [[가이드북]]이란 게 있는데 처음엔 몰랐다가 골드를 어디서 버냐고 관계 직원분에게 여쭤봐서 알았습니다."", ""title"": ""[ 버닝비버 2023] 초등학생... 인디 게임 페스티벌 참여 후기 공유"", ""link"": ""https://blog.naver.com/zealot16/223281222025""}]",굿즈/리워드
2023,굿즈/리워드,22,아이템샵|아이템 샵,아이템샵,6,"[{""context"": ""골드를 모아 퇴장하기전 [[아이템 샵]]에서 모은 골드로 원하는 템을 구매해서 퇴장하면된다."", ""title"": ""2023 인디게임 페스티벌 버닝비버 후기"", ""link"": ""https://blog.naver.com/duck2283/223281109174""}, {""context"": ""[[아이템샵]] 너무 슬프니까 아이템샵 이라도 둘러봐요."", ""title"": ""[서울/전시] 인디게임을 실컷 즐길 수 있는 < 버닝비버 > 전시 후기"", ""link"": ""https://blog.naver.com/during58/223283944114""}, {""context"": ""버닝비버 2023 전체 공간 (출처 : 버닝비버 2023 공식 홈페이지) ​ 1. 세계관 전시 2. 기획전시 VER.0.0.1 3. 비버월드 4. 미션&리워드&[[아이템샵]] ​ 어떤 공간인지 하나씩 알아보기 위해서 버닝비버로 직접 가볼까요?"", ""title"": ""초대권으로 버닝비버 2023에 다녀온 후기 ! (1)"", ""link"": ""https://blog.naver.com/hyanggies/223296954835""}, {""context"": ""우선 비버 초상화한번 리워드 받고(5천골드)~ 그다음엔 [[아이템샵]]에가서 굿즈를 구매하려 했으나 원하는 굿즈는 품절쓰.."", ""title"": ""2023 버닝비버 (Burning Beaver... 참가 후기 . 이색데이트..."", ""link"": ""https://blog.naver.com/moong_mj/223282924375""}, {""context"": ""저는 오늘의 버닝 운세 (가챠샵)에서 2번 쓰고, 남은 골드로 [[아이템샵]](굿즈샵)에서 엽서와 스티커를 샀습니다."", ""title"": ""DDP 인디게임 페스티벌 ‘ 버닝비버 2023’ 후기 ..."", ""link"": ""https://blog.naver.com/salt-water/223281458051""}]",굿즈/리워드
2023,연사/인플루언서,23,남도형,남도형,5,"[{""context"": ""바로바로 [[남도형]] 성우 가 행사에 오시기 때문입니다!"", ""title"": ""[서울/전시] 인디게임을 실컷 즐길 수 있는 < 버닝비버 > 전시 후기"", ""link"": ""https://blog.naver.com/during58/223283944114""}, {""context"": ""13시에는 [[남도형]] 성우님이 오셨다!"", ""title"": ""버닝비버 2023 인디게임&컬처 페스티벌 후기"", ""link"": ""https://blog.naver.com/iammulgogi/223283268495""}, {""context"": ""그리고 13시에 진행 된 더빙의 신 톸콕쇼 [[남도형]] 성우님도 영접했습니다."", ""title"": ""스마일게이트 버닝비버 2023 인디게임&컬쳐페스티벌 방문 후기"", ""link"": ""https://blog.naver.com/jhk7318/223281677657""}, {""context"": "" ​[인플루언서 스테이지 프로그램] [[남도형]] 성우 톸톸쇼&사인회 성우 남도형 이력 미키 마우스, 가디언즈 오브 갤럭시 '라쿤', 스파이더맨, 로스트아크 '진저웨일' , 메이플스토리 '호영', 리그 오브 레전드 '제이스', '라칸' 등 매우 다양한 연기 소화해낸 인물입니다! 유튜브 <남도형의 블루클럽> 운영 중 "", ""title"": ""버닝비버 2023 정보(예매, 행사 내용) 및 2022 방문기!"", ""link"": ""https://blog.naver.com/mignoncre/223256307910""}, {""context"": ""이번에는 이벤트 공간이 북적북적해서 가보니 ​ ​ [[남도형]] 성우가 오셔서 많은 팬들이 몰려 있었습니다."", ""title"": ""2023 대한민국 인디게임의 오늘을 보자 버닝비버 3일차 방문기"", ""link"": ""https://blog.naver.com/scv9246126/223281969845""}]",연사/인플루언서
