year,game,MentionedPosts,examples_json
2023,산나비,6,"[{""context"": ""가장 먼저 [[산나비]] 부스를 찾았는데, 역시나 굿즈 대기 줄이 있었다.."", ""title"": ""버닝비버 2023 후기 : 리뷰를 마치며"", ""link"": ""https://blog.naver.com/sherlockkang/223296257316""}, {""context"": ""저도 Lofi라던가, 하프앤 엘피스, [[산나비]] 등 이번 행사에서 인기많았던 게임들을 체험하고 싶어서 온라인 전시관에 들를려구요."", ""title"": ""[서울/전시] 인디게임을 실컷 즐길 수 있는 < 버닝비버 > 전시 후기"", ""link"": ""https://blog.naver.com/during58/223283944114""}, {""context"": ""특히 [[산나비]]는 굿즈를 사려는 대기 줄이 너무 길어져서 직원분들이 제지할 정도..."", ""title"": ""피그말리온 #44 : 버닝비버 후기 & 개선점들"", ""link"": ""https://blog.naver.com/team_candle/223283787180""}, {""context"": ""게임명: [[산나비]]"", ""title"": ""버닝비버 2023 인디게임 행사 부스&어워즈 체험 후기 (3일차)"", ""link"": ""https://blog.naver.com/leeon715/223282658519""}, {""context"": ""거기에 또 다시 느끼는 [[산나비]]의 위력(?)"", ""title"": ""2023 대한민국 인디게임의 오늘을 보자 버닝비버 3일차 방문기"", ""link"": ""https://blog.naver.com/scv9246126/223281969845""}]"
2023,고양이호텔,5,"[{""context"": ""[[고양이호텔]]"", ""title"": ""초대권으로 버닝비버 2023에 다녀온 후기 ! (2)"", ""link"": ""https://blog.naver.com/hyanggies/223306042179""}, {""context"": ""<[[고양이호텔]]>"", ""title"": ""버닝비버 2023 인디게임&컬처 페스티벌 후기"", ""link"": ""https://blog.naver.com/iammulgogi/223283268495""}, {""context"": ""모바일 게임 [[고양이호텔]], 캐릭터가 너무 귀여워서 사전 등록까지 완료 했습니다."", ""title"": ""스마일게이트 버닝비버 2023 인디게임&컬쳐페스티벌 방문 후기"", ""link"": ""https://blog.naver.com/jhk7318/223281677657""}, {""context"": ""포스메이게임즈의 <[[고양이호텔]]>"", ""title"": ""버닝비버 2023 인디게임 페스티벌 후기 (토요일 방문), 각종..."", ""link"": ""https://blog.naver.com/todaygamereview/223281376798""}, {""context"": ""#[[고양이호텔]]"", ""title"": ""인디게임을 체험해 볼 수 있는 버닝비버 2023을 다녀오다"", ""link"": ""https://blog.naver.com/milkway_moon/223280481251""}]"
2023,모노웨이브,5,"[{""context"": ""[[모노웨이브]](MONOWAVE)"", ""title"": ""초대권으로 버닝비버 2023에 다녀온 후기 ! (2)"", ""link"": ""https://blog.naver.com/hyanggies/223306042179""}, {""context"": ""[[모노웨이브]]"", ""title"": ""[서울/전시] 인디게임을 실컷 즐길 수 있는 < 버닝비버 > 전시 후기"", ""link"": ""https://blog.naver.com/during58/223283944114""}, {""context"": ""<[[모노웨이브]]>"", ""title"": ""버닝비버 2023 인디게임&컬처 페스티벌 후기"", ""link"": ""https://blog.naver.com/iammulgogi/223283268495""}, {""context"": ""BBB회사의 <[[모노웨이브]]>"", ""title"": ""버닝비버 2023 인디게임 페스티벌 후기 (토요일 방문), 각종..."", ""link"": ""https://blog.naver.com/todaygamereview/223281376798""}, {""context"": ""[[모노웨이브]]"", ""title"": ""버닝비버 2023 후기"", ""link"": ""https://blog.naver.com/biuwhdle/223280257959""}]"
2023,서큐하트,5,"[{""context"": "": 세피리아, 호프와 엘피스, 스테퍼 케이스, 피오, [[서큐하트]], 로얄블루의 마법의상실, 사람속에 피는꽃, 키키캐키캡."", ""title"": ""[전시] 2023 버닝비버 , '온라인 전시관' 게임 후기 !"", ""link"": ""https://blog.naver.com/during58/223306119265""}, {""context"": ""[[서큐하트]]"", ""title"": ""열정을 조명하는 상 - 버닝비버 2023 STOVE 인디 어워즈 후기"", ""link"": ""https://blog.naver.com/alscks140/223283111987""}, {""context"": ""[[서큐하트]]"", ""title"": ""[서울/전시] 인디게임을 실컷 즐길 수 있는 < 버닝비버 > 전시 후기"", ""link"": ""https://blog.naver.com/during58/223283944114""}, {""context"": ""부스터 픽은 '[[서큐하트]]', 한글화 벗은 '당신과 그녀와 그녀의 사랑'이 수상하였습니다."", ""title"": ""버닝비버 2023 인디게임 행사 부스&어워즈 체험 후기 (3일차)"", ""link"": ""https://blog.naver.com/leeon715/223282658519""}, {""context"": ""그리고 지나가다가 멈출 수 밖에 없던 비쥬얼노벨 [[서큐하트]]도 체험 가능했습니다."", ""title"": ""스마일게이트 버닝비버 2023 인디게임&컬쳐페스티벌 방문 후기"", ""link"": ""https://blog.naver.com/jhk7318/223281677657""}]"
2023,키키캐키캡,5,"[{""context"": ""저희 [[키키캐키캡]] 부스는 52번 부스입니다 !"", ""title"": ""학생게임개발팀의 조금 늦은 DDP 2023 버닝비버 전시 후기 !"", ""link"": ""https://blog.naver.com/igegegaeim/223308490971""}, {""context"": "": 세피리아, 호프와 엘피스, 스테퍼 케이스, 피오, 서큐하트, 로얄블루의 마법의상실, 사람속에 피는꽃, [[키키캐키캡]]."", ""title"": ""[전시] 2023 버닝비버 , '온라인 전시관' 게임 후기 !"", ""link"": ""https://blog.naver.com/during58/223306119265""}, {""context"": ""[[키키캐키캡]]과 비슷한 컨셉의 게임이지만 3d, 포탑을 설치하면서 플레이 한다는점이 달랐습니다"", ""title"": ""버닝비버 2023 후기"", ""link"": ""https://blog.naver.com/dldydgus1995/223288759383""}, {""context"": ""[[키키캐키캡]]"", ""title"": ""열정을 조명하는 상 - 버닝비버 2023 STOVE 인디 어워즈 후기"", ""link"": ""https://blog.naver.com/alscks140/223283111987""}, {""context"": ""월드 와이드 부문은 루미네나이트, Nqc: Non Qualia Character, 피오, [[키키캐키캡]]이 수상하였습니다."", ""title"": ""버닝비버 2023 인디게임 행사 부스&어워즈 체험 후기 (3일차)"", ""link"": ""https://blog.naver.com/leeon715/223282658519""}]"
2023,텔레빗,4,"[{""context"": ""bic때도 재미있게 한 [[텔레빗]]"", ""title"": ""버닝비버 2023 후기"", ""link"": ""https://blog.naver.com/dldydgus1995/223288759383""}, {""context"": ""[[텔레빗]]"", ""title"": ""[서울/전시] 인디게임을 실컷 즐길 수 있는 < 버닝비버 > 전시 후기"", ""link"": ""https://blog.naver.com/during58/223283944114""}, {""context"": ""게임명: [[텔레빗]]"", ""title"": ""스토브 버닝비버 2023 인디게임 행사 부스 체험 후기 ..."", ""link"": ""https://blog.naver.com/leeon715/223280501170""}, {""context"": ""Telebbit ([[텔레빗]])"", ""title"": ""버닝비버 2023 후기"", ""link"": ""https://blog.naver.com/biuwhdle/223280257959""}]"
2023,피오,4,"[{""context"": "": 세피리아, 호프와 엘피스, 스테퍼 케이스, [[피오]], 서큐하트, 로얄블루의 마법의상실, 사람속에 피는꽃, 키키캐키캡."", ""title"": ""[전시] 2023 버닝비버 , '온라인 전시관' 게임 후기 !"", ""link"": ""https://blog.naver.com/during58/223306119265""}, {""context"": ""[[피오]]는 막보잡고 상품도 받았습니다"", ""title"": ""버닝비버 2023 후기"", ""link"": ""https://blog.naver.com/dldydgus1995/223288759383""}, {""context"": ""몽환적인 분위기와 밝은 별이 되기 위한 [[피오]]의 여정을 플레이하게 되는데요."", ""title"": ""열정을 조명하는 상 - 버닝비버 2023 STOVE 인디 어워즈 후기"", ""link"": ""https://blog.naver.com/alscks140/223283111987""}, {""context"": ""월드 와이드 부문은 루미네나이트, Nqc: Non Qualia Character, [[피오]], 키키캐키캡이 수상하였습니다."", ""title"": ""버닝비버 2023 인디게임 행사 부스&어워즈 체험 후기 (3일차)"", ""link"": ""https://blog.naver.com/leeon715/223282658519""}]"
2023,Nqc,3,"[{""context"": ""[[nqc]]는 전투가 완전히 바뀌었고 초반부가 더욱 흥미로워졌습니다"", ""title"": ""버닝비버 2023 후기"", ""link"": ""https://blog.naver.com/dldydgus1995/223288759383""}, {""context"": ""[[Nqc]] : Non Qualia Character"", ""title"": ""열정을 조명하는 상 - 버닝비버 2023 STOVE 인디 어워즈 후기"", ""link"": ""https://blog.naver.com/alscks140/223283111987""}, {""context"": ""월드 와이드 부문은 루미네나이트, [[Nqc]]: Non Qualia Character, 피오, 키키캐키캡이 수상하였습니다."", ""title"": ""버닝비버 2023 인디게임 행사 부스&어워즈 체험 후기 (3일차)"", ""link"": ""https://blog.naver.com/leeon715/223282658519""}]"
2023,Wetory,3,"[{""context"": ""[[Wetory]]"", ""title"": ""버닝비버 2023 후기"", ""link"": ""https://blog.naver.com/dldydgus1995/223288759383""}, {""context"": ""<[[wetory]]>"", ""title"": ""버닝비버 2023 인디게임&컬처 페스티벌 후기"", ""link"": ""https://blog.naver.com/iammulgogi/223283268495""}, {""context"": ""게임명: [[Wetory]]"", ""title"": ""버닝비버 2023 행사 인디게임 부스 플레이 후기 (2일차)"", ""link"": ""https://blog.naver.com/leeon715/223281328995""}]"
2023,길고양이 이야기2,3,"[{""context"": ""[[길고양이 이야기2]]에 꽂혔다."", ""title"": ""스마일게이트 버닝비버 2023 인디게임 페스티벌 방문 후기 !..."", ""link"": ""https://blog.naver.com/seungoxox/223290693709""}, {""context"": ""#[[길고양이이야기2]]"", ""title"": ""인디게임을 체험해 볼 수 있는 버닝비버 2023을 다녀오다"", ""link"": ""https://blog.naver.com/milkway_moon/223280481251""}, {""context"": ""[[길고양이이야기2]]"", ""title"": ""2022 버닝비버 게임 플레이 후기"", ""link"": ""https://blog.naver.com/sunflof/222978451195""}]"
2024,갈바테인 : 모험가 길드 사무소,5,"[{""context"": ""[[갈바테인 : 모험가 길드 사무소]]"", ""title"": ""버닝비버 2024 후기 로스트아크 굿즈도 잔뜩!"", ""link"": ""https://blog.naver.com/doek11/223680208709""}, {""context"": ""[[갈바테인 : 모험가 길드 사무소]]"", ""title"": ""든든하게 먹은 버닝비버 2024 행사 후기"", ""link"": ""https://blog.naver.com/neopgame/223735120710""}, {""context"": ""[[갈바테인: 모험가 길드사무소]]"", ""title"": ""버닝비버 2024 후기"", ""link"": ""https://blog.naver.com/biuwhdle/223679891503""}, {""context"": ""[[갈바테인: 모험가 길드 사무소]]"", ""title"": ""버닝비버 2024 11월 30일 참가 후기"", ""link"": ""https://blog.naver.com/jdh8803/223679012507""}, {""context"": ""[[갈바테인 : 모험가 길드 사무소]]"", ""title"": ""[ 버닝비버 2024] 대망의 참가 후기 ! ft.남도형 성우..."", ""link"": ""https://blog.naver.com/merry_christmas_eve/223678401670""}]"
2024,스테레오 믹스,5,"[{""context"": ""해보고 싶었지만 줄이 길었던 [[스테레오 믹스]]와 신기해 보였던 땡스 라이트"", ""title"": ""좋아한다면 주목! 인디게임&컬쳐 페스티벌 2024 버닝비버 후기"", ""link"": ""https://blog.naver.com/eazy_hops/223709598739""}, {""context"": ""[[스테레오 믹스]]"", ""title"": ""버닝비버 2024 후기 로스트아크 굿즈도 잔뜩!"", ""link"": ""https://blog.naver.com/doek11/223680208709""}, {""context"": ""[[스테레오 믹스]]"", ""title"": ""든든하게 먹은 버닝비버 2024 행사 후기"", ""link"": ""https://blog.naver.com/neopgame/223735120710""}, {""context"": ""[[스테레오 믹스]]"", ""title"": ""[ 버닝비버 2024] 대망의 참가 후기 ! ft.남도형 성우..."", ""link"": ""https://blog.naver.com/merry_christmas_eve/223678401670""}, {""context"": ""유형권 님의 일행이 플레이하고 있던 게임이라서 자연스럽게 다음 차례로 바톤 터치하듯 플레이해보았던 \""[[스테레오 믹스]]\""입니다."", ""title"": ""버닝비버 2024 후기 - 스토브 인디, 스팀게임으로 모두가 즐길..."", ""link"": ""https://blog.naver.com/whithmag/223678077620""}]"
